no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
549;6265;Forêt de Paimpont;1219.17;-2.2;48.01;158;7;Atlantique;0;0
550;6267;Têtes de bassin du Blavet et de l'Hyères;3596.15;-3.25;48.35;206.5;20;Atlantique;14;12
551;6268;Rivière Leguer, forêts de Beffou, Coat an Noz et Coat an Hay;3204;-3.43;48.59;165;24;Atlantique;9;9
552;6269;Côte de Granit rose-Sept-Iles;72140.36;-3.48;48.86;-15;5;Atlantique;14;14
553;7760;Tregor Goëlo;91438;-3.1;48.88;-22.5;50;Atlantique;10;10
555;7769;Cap d'Erquy-Cap Fréhel;40434;-2.3;48.66;24.5;14;Atlantique;8;8
557;6272;Baie de Lancieux, Baie de l'Arguenon, Archipel de Saint Malo et Dinard;5141.99;-2.16;48.63;28.5;11;Atlantique;0;0
558;6273;Monts d'Arrée centre et est;10872.4;-3.81;48.42;205.5;20;Atlantique;23;20
559;6274;Complexe du Menez Hom;1827.73;-4.25;48.23;170;5;Atlantique;0;0
560;6275;Baie de Morlaix;26617;-3.86;48.69;0;26;Atlantique;20;20
562;6276;Anse de Goulven, dunes de Keremma;2064.63;-4.24;48.65;1;6;Atlantique;0;0
563;6277;Ouessant-Molène;77113.6;-4.91;48.37;-51.5;20;Atlantique;11;11
565;6278;Presqu'Ile de Crozon;4417.43;-4.54;48.24;49;4;Atlantique;15;12
566;6279;Cap Sizun;2836.99;-4.7;48.04;38;10;Atlantique;0;0
568;6280;Baie d'Audierne;2455.75;-4.35;47.87;12.5;17;Atlantique;0;0
570;6281;Archipel des Glénan;58636.76;-4;47.72;-30;1;Atlantique;17;17
571;6282;Rivière Elorn;2394.43;-4.08;48.44;107.5;21;Atlantique;0;0
572;6283;Complexe forestier Rennes-Liffré-Chevré, Étang et lande d'Ouée, forêt de Haute Sève;1728.03;-1.53;48.2;87.5;7;Atlantique;0;0
573;6287;Golfe du Morbihan, côte ouest de Rhuys;20577.43;-2.82;47.57;8;21;Atlantique;0;0
574;6288;Rivière de Penerf, marais de Suscinio;4912;-2.64;47.5;10;5;Atlantique;0;0
