no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
1075;7007;Iles Cerbicale et frange littoral;3698;9.36;41.55;-7.5;1;Méditerranéenne;9;9
1076;7008;Tre Padule de Suartone, Rondinara;257;9.23;41.46;79.5;1;Méditerranéenne;6;5
1077;7009;Plateau de Pertusato/ Bonifacio et îles Lavezzi;6071;9.24;41.36;22.5;1;Méditerranéenne;8;8
1078;7010;Sites à Anchusa crispa de l'embouchure du Rizzanese et d'Olmeto;77;8.88;41.65;9;2;Méditerranéenne;7;6
1079;7011;Iles Sanguinaires, plage de Lava et Punta Pellusella;220;8.66;41.99;111;3;Méditerranéenne;6;6
1080;7012;Aliso-Oletta;392;9.3;42.65;50;1;Méditerranéenne;3;3
1081;7014;Punta Calcina;8;9.35;41.72;300.5;1;Méditerranéenne;2;2
1082;7015;Région de Furiani et monte Canarinco;2;9.41;42.66;180;1;Méditerranéenne;2;2
1083;7016;Junipéraie de Porto Pollo et plage de Cupabia;323;8.78;41.72;83;2;Méditerranéenne;2;2
1084;7018;Chênaie verte et junipéraie de la Tartagine;513;9.05;42.5;766.5;2;Méditerranéenne;4;4
1085;7019;Mare temporaire de Musella/Bonifacio;17;9.19;41.4;60;1;Méditerranéenne;1;1
1086;7128;Massif de Fontainebleau;28063;2.66;48.41;100;61;Atlantique;8;8
1088;7129;Forêt de Rambouillet;1988;1.7;48.71;150;7;Atlantique;1;1
1089;7130;La Bassée;1403;3.28;48.45;56;18;Atlantique;4;4
1090;7131;Savart de la Tommelle à Marigny;286;3.83;48.66;95;2;Continentale;4;2
1091;7133;Savart du camp militaire de Mourmelon;408;4.4;49.16;130;3;Continentale;0;0
1092;7135;Prairies d'Autry;166;4.8;49.25;118;3;Continentale;2;2
1093;7137;Massif forestier de la Montagne de Reims (versant sud) et étangs associés;1733;4.04;49.09;201;17;Continentale;5;5
1094;7138;Massif forestier d'Epernay et étangs associés;2847;3.77;48.99;231;9;Atlantique;2;2
1095;7142;Le cul du Cerf à Orquevaux;176;5.4;48.31;364;1;Continentale;4;4
1096;7147;Boucles de la Seine Aval;5485.66;0.94;49.42;69;29;Atlantique;9;7
1097;7150;Bois de la Roquette;3.54;0.64;49.75;65.5;1;Atlantique;1;1
1098;7166;Vallées de la Loire et de l'Allier entre Mornay-sur-Allier et Neuvy-sur-Loire;13815;3.01;47.17;160;43;Atlantique;30;25
1099;7167;Basse vallée de la Seille;3050;4.99;46.51;180;15;Continentale;7;4
1100;7168;Arrière côte de Dijon et de Beaune;60720;4.8;47.13;430;85;Continentale;9;7
1101;7169;Vallée de la Loire de Iguerande à Decize;23643;3.83;46.51;223;41;Continentale;29;22
1102;7170;Massifs forestiers et vallées du châtillonnais;58949;4.75;47.66;383;45;Continentale;2;2
1103;7171;Basse vallée du Doubs et étangs associés;3788;5.22;46.91;182;12;Continentale;10;9
1104;7172;Prairies alluviales et milieux associés de Saône-et-Loire;8980;4.8;46.66;176;36;Continentale;7;6
1105;7173;Forêt de Citeaux et environs;13281;5.05;47.06;225;29;Continentale;14;17
1106;7174;Bocage, forêts et milieux humides des Amognes et du bassin de la Machine;32765;3.35;46.96;256;28;Continentale;7;6
1107;7175;Vallée de la Loire entre Imphy et Decize;4746;3.28;46.87;184;11;Continentale;14;11
1108;7176;Vallée de la Saônelle;354.5;5.61;48.36;330;11;Continentale;5;5
1109;7177;Gîtes à chiroptères de la Vôge;5.3;5.99;47.99;310;12;Continentale;1;1
1110;7745;Vallons de la Drésine et de la Bonavette;1328;6.26;46.78;897;10;Continentale;9;8
1112;7179;Bassin du Drugeon;6520;6.22;46.85;835;14;Continentale;25;20
1113;7183;Réserve naturelle des ballons comtois en Franche-Comté;2062;6.77;47.8;1005;5;Continentale;4;2
1114;7184;Forêt de Chaux;22009;5.66;47.08;253;24;Continentale;7;6
1115;7750;Vallée de la Saône;21691;5.9;47.62;207;160;Continentale;33;32
1117;7189;Moyenne vallée du Doubs;6299;6.13;47.28;380;28;Continentale;15;13
1118;7191;Petite montagne du Jura;38293;5.63;46.49;504;70;Continentale;55;53
1120;7819;Pelouses de la région vésulienne et vallée de la Colombine;1938;6.23;47.62;304;38;Continentale;9;8
1122;7194;Reculées de la haute Seille;1420;5.65;46.72;381;6;Continentale;3;2
1123;7195;Vallées du Dessoubre, de la Reverotte et du Doubs;16271;6.61;47.17;632.5;51;Continentale;48;46
1124;7196;Pelouses de Champlitte, étang de Theuley-lès-Vars;346;5.51;47.59;278;2;Continentale;3;3
1125;7197;Étangs et vallées du Territoire de Belfort;5114;6.96;47.61;382;48;Continentale;11;11
1126;7202;Plateau des mille Etangs;20555;6.61;47.8;388;27;Continentale;21;19
1127;7205;La Garonne en Nouvelle-Aquitaine;6684;-0.17;44.65;25;106;Atlantique;3;7
1128;7207;Etang de la Pouge;225;0.93;45.78;255;3;Continentale;3;5
1129;7208;Forêt d'Epagne;439;1.6;45.93;419.5;3;Continentale;13;8
1130;7211;Affluents rive droite du Rhône;4210.1;4.8;45;309;38;Méditerranéenne;5;5
1131;7213;Réseau de zones humides et alluviales des Hurtières;562.3;6.26;45.45;772;11;Alpine;6;6
1132;7214;Vallées de la Beaume et de la Drobie;7964.7;4.13;44.54;600;23;Méditerranéenne;6;4
1133;7216;Hauts plateaux du Vercors;17605;5.48;44.85;1650;11;Alpine;5;3
1134;7218;La Vanoise;53618;6.83;45.36;2500;17;Alpine;5;4
1135;7219;Les Ramières du Val de Drôme;364;4.91;44.74;145;5;Méditerranéenne;3;5
1136;7220;Îles du haut Rhône;274;5.59;45.64;207;3;Continentale;1;0
1137;7866;Massif du Bargy;3847;6.47;45.99;1672;16;Alpine;6;4
1139;7222;Basse Ardèche;6059;4.47;44.43;315;12;Méditerranéenne;11;11
1140;7223;Etournel et défilé de l'Ecluse;318;5.91;46.12;370;5;Continentale;8;7
1141;7224;Écozone du Forez;389;4.2;45.71;334;5;Continentale;12;12
1142;7225;Avant-pays savoyard;3125;5.71;45.66;505;32;Continentale;9;7
1143;7227;Partie orientale du massif des Bauges;14513;6.22;45.66;1329;17;Alpine;5;4
1144;7230;Les Frettes - massif des Glières;4793;6.33;45.98;1578;8;Alpine;8;6
1145;7231;Printegarde;677;4.76;44.74;86;6;Méditerranéenne;3;4
1146;7232;Île de la Platière;961;4.76;45.35;141;10;Continentale;13;12
1147;7233;Rebord méridional du massif des Bauges;1170;6.02;45.52;748;12;Alpine;0;2
1148;7234;Gorges de la Loire;2490;4.25;45.43;525;58;Continentale;7;7
1150;7236;La Dombes;47656;5.05;46.05;278;132;Continentale;5;4
1152;7237;Val de Saône;3671;4.93;46.48;171;17;Continentale;3;2
1153;7238;Massif de Saoû et crêtes de La Tour;6662;5.12;44.63;732;10;Méditerranéenne;8;7
1154;7239;Baronnies - gorges de l'Eygues;12481;5.21;44.39;793;30;Méditerranéenne;7;7
1155;7241;Roc d'enfer;4054;6.59;46.18;1545;8;Alpine;10;8
1156;7647;Massif du Mont Vuache;2046.5;5.93;46.06;694;16;Continentale;7;3
1158;7864;Les Aravis;8890.7;6.55;45.96;1800;20;Alpine;8;5
1160;7244;Plaine du Forez;32778;4.11;45.66;365;54;Continentale;6;4
1161;7245;Gorges de la Loire aval;7388;4.07;45.91;389;13;Continentale;3;3
1162;7249;Bois-Noirs;683.5;3.66;45.93;828.5;7;Continentale;6;6
1163;7252;Monts et Plomb du Cantal;6408;2.74;45.06;1400;8;Continentale;12;10
1164;7253;Val d'Allier Bourbonnais;18093;3.34;46.34;215;33;Continentale;4;4
1165;7254;Haut Val d'Allier;58906;3.61;45.01;650;53;Continentale;5;5
1166;7256;Planèze de Saint Flour;25193;3;45.03;1150;18;Continentale;8;8
1167;7257;Sologne bourbonnaise;22237;3.58;46.58;275;12;Continentale;9;9
1168;7259;Gorges de la Truyère;21569;3;44.88;800;31;Continentale;6;6
1170;7260;Pays des Couzes;51756;3.08;45.51;850;58;Continentale;7;7
1171;7261;Val d'allier Saint Yorre-Joze;5650;3.38;45.94;290;14;Continentale;4;4
1172;7262;Falaises de Barjac et causse des Blanquets;2267;3.37;44.5;812.5;8;Continentale;5;4
1173;7263;Herbiers de l'étang de Thau;8320;3.6;43.39;0;9;Méditerranéenne;7;7
1174;7264;Haute Vallée de l'Aude et Bassin de l'Aiguette;17055;2.18;42.77;1429.5;23;Alpine;11;8
1175;7268;Les Ecrins;91763;6.23;44.83;2447;21;Alpine;3;1
1176;7271;Garrigues de Lançon et Chaînes alentour;27411;5.21;43.61;191;21;Méditerranéenne;7;6
1177;7273;Plaine des Maures;4526;6.4;43.35;99;5;Méditerranéenne;6;5
1178;7274;Marais entre Crau et Grand Rhône;7218;4.78;43.51;1;3;Méditerranéenne;4;4
1179;7277;Bois du Chapitre;212;6;44.63;1611;1;Alpine;5;4
1180;7278;Salines de l'Étang de Berre;451;5.14;43.47;1;1;Méditerranéenne;5;4
1181;7279;Marais de l'Ile Vieille et alentour;1460;4.69;44.21;44;6;Méditerranéenne;7;5
1182;7281;Salins d'Hyères et des Pesquiers;962;6.13;43.06;20;1;Méditerranéenne;7;5
1183;7282;Plateau de l'Arbois;4304;5.29;43.48;180;6;Méditerranéenne;9;9
1184;7283;Plateau de Valensole;44712;6.07;43.81;626;15;Méditerranéenne;5;5
1185;7285;Colle du Rouet;11533;6.62;43.53;187;9;Méditerranéenne;3;2
1186;7286;Étangs entre Istres et Fos;1222;4.99;43.44;20;4;Méditerranéenne;8;7
1187;7287;Falaises du Mont Caume;213;5.91;43.18;500;1;Méditerranéenne;2;2
1188;7288;Falaises de Niolon;144;5.24;43.34;152;1;Méditerranéenne;3;3
1189;7289;Falaises de Vaufrèges;165;5.46;43.25;381;1;Méditerranéenne;1;1
1190;7291;Marais de Manteyer;66;5.97;44.54;942;2;Méditerranéenne;12;9
1191;7292;Bois des Ayes;880;6.66;44.81;2247;1;Alpine;11;10
1192;7294;Bec de Crigne;411;5.93;44.4;955;2;Méditerranéenne;5;4
1193;7295;Basse Vallée du Var;640;7.19;43.67;61;15;Méditerranéenne;7;7
1194;7300;Vallée de la Restonica;6430;9.06;42.25;1586;1;Méditerranéenne;5;4
1195;7303;Urbino;2377;9.48;42.05;3;2;Méditerranéenne;7;7
1196;7305;Haute vallée d'Asco, forêt de Tartagine et aiguilles de Popolasca;8540;9;42.41;1700;3;Méditerranéenne;2;2
1197;7306;Aiguilles de Bavella;1873;9.23;41.83;1300;1;Méditerranéenne;4;3
1198;7307;Forêts Territoriales de Corse;13223;9.16;42.01;1128.5;26;Méditerranéenne;14;14
1199;7308;Haute vallée de la Scala di Santa Regina;498.6;9.08;42.36;1000;1;Méditerranéenne;1;1
1200;7309;Cirque de Bonifatu;1137;8.89;42.42;1500;1;Méditerranéenne;3;3
1201;7310;Haute vallée du Fango;1277;8.88;42.36;1300;1;Méditerranéenne;6;6
1202;7311;Haute vallée du Fium Grossu;1492.4;9;42.2;1400;1;Méditerranéenne;3;3
1203;7312;Haute vallée du Verghello;1529;9.11;42.21;1600;1;Méditerranéenne;7;6
1204;7313;Vallée du Regino;3713;8.96;42.58;100;8;Méditerranéenne;3;1
1205;7314;Chênaies et pinèdes de Corse;686;9.15;42.46;889.5;6;Méditerranéenne;3;3
1206;7316;Forêts, bois, étangs et bocage herbager de la Fagne et du plateau d'Anor;1710;4.13;50.06;209;13;Continentale;26;26
1207;7317;Coteaux calcaires de la vallée de la Dordogne;3686;1.32;44.86;154.5;27;Atlantique;2;4
1208;7318;Forêt de la Cubesse;150;2.05;45.53;880;1;Continentale;12;7
1209;7319;Mine de Chabannes et souterrains des Monts d'Ambazac;692;1.35;45.95;525;3;Continentale;5;10
1210;7324;Lacs de la forêt d'Orient;23575;4.33;48.26;143;21;Continentale;16;14
1211;7325;Lac du Der;6536;4.75;48.56;137;10;Continentale;7;5
1212;7715;Étang de la Horre;725;4.65;48.5;119;6;Continentale;3;3
1214;7327;Herbages et cultures des vallées de la Voire, de l'Héronne et de la Laines;2274;4.57;48.47;121;6;Continentale;12;12
1215;7328;Herbages et cultures autour du lac du Der;2169;4.69;48.56;123;10;Continentale;11;11
1216;7329;Étangs de Belval et d'Etoges;229;4.98;48.95;153;1;Continentale;16;12
1217;7330;Confluence des vallées de la Meuse et de la Chiers;3636;5.18;49.61;161;20;Continentale;0;0
1218;7331;Vallée de l'Aisne en aval de Château Porcien;1448;4.16;49.5;64;11;Continentale;3;3
1219;7332;Confluence des vallées de l'Aisne et de l'Aire;2142;4.86;49.28;116;16;Continentale;2;2
1220;7333;Vallée de l'Aisne à Mouron;385;4.76;49.31;102;4;Continentale;2;2
1221;7334;Étangs d'Argonne;14250;4.95;48.96;160;24;Continentale;14;14
1222;7335;Barrois et forêt de Clairvaux;41156;4.72;48.13;274;42;Continentale;20;16
1223;7336;Bassigny;78527;5.59;48.14;381;67;Continentale;5;3
1224;7337;Marigny, Superbe, vallée de l'Aube;4527;3.98;48.6;85;20;Continentale;6;4
1225;7338;Plateau ardennais;75665;4.86;49.88;307;77;Continentale;7;7
1226;7339;Prairies alluviales de l'Oise de la Fère à Sempigny;3010;3.22;49.59;43;26;Atlantique;9;9
1227;7343;Plateau de Chabris / La Chapelle - Montmartin;16669;1.67;47.23;115;11;Atlantique;1;1
1229;7350;Etang de Lachaussée et zones voisines;3521;5.79;49.01;216.5;5;Continentale;3;3
1230;7352;Zones humides de Moselle;210;6.46;49.02;228;8;Continentale;1;1
1231;7353;Plaine et étang du Bischwald;2512;6.65;49.01;256;13;Continentale;3;3
1232;7354;Forêts et zones humides du pays de Spincourt;12678;5.55;49.3;215;10;Continentale;0;0
1233;7356;Massif vosgien;26387;6.93;47.98;850;85;Continentale;3;4
1234;7357;Forêt humide de la Reine et Caténa de Rangeval;5167;5.77;48.78;308;10;Continentale;3;3
1235;7358;Forêts, rochers et étangs du pays de Bitche;6279;7.54;49;310;6;Continentale;5;5
1236;7359;Vallée de la Meuse;13562;5.54;48.87;263.5;75;Continentale;3;3
1237;7360;Forêts et étangs d'Argonne et vallée de l'Ornain;15308;5;48.91;215;26;Continentale;3;3
1238;7361;Bassigny, partie Lorraine;19836;5.74;48.09;405;26;Continentale;2;2
1239;7362;Jarny - Mars-la-Tour;8113;5.86;49.1;255;9;Continentale;1;1
1240;7363;Vosges du Nord;4995.53;7.33;48.81;300;7;Continentale;6;4
1241;7364;Hautes-Vosges, Haut-Rhin;23680.26;7.01;47.95;895;68;Continentale;19;18
1242;7365;Zones agricoles de la Hardt;9198.31;7.47;47.99;199;16;Continentale;6;4
1243;7366;Vallée du Rhin de Strasbourg à Marckolsheim;8784;7.7;48.33;169;19;Continentale;7;9
1244;7367;Ried de Colmar à Sélestat, Bas-Rhin;4937;7.49;48.25;170;12;Continentale;11;14
1245;7368;Ried de Colmar à Sélestat, Haut-Rhin;5229;7.43;48.16;170;10;Continentale;1;6
1246;7369;Plateau des mille étangs;20555;6.61;47.8;388;27;Continentale;21;19
1247;7370;Vallée du Rutin, coteau de Chaumiton, étang de Saosnes et forêt de Perseigne;713;0.25;48.4;222.5;9;Atlantique;7;5
1248;7371;Alpes Mancelles;1190;-0.07;48.36;170;5;Atlantique;8;8
1249;7372;Vallée du Narais, forêt de Bercé et ruisseau du Dinan;4592;0.37;47.89;117;16;Atlantique;9;8
1250;7373;Vallée du Loir de Vaas à Bazouges;4237;0.1;47.69;54.5;14;Atlantique;12;9
1251;7374;Forêt de Sillé;704;-0.11;48.21;210.5;4;Atlantique;8;7
1252;7375;Bocage à Osmoderma eremita entre Sillé-le-Guillaume et la Grande-Charnie;13749;-0.16;48.11;132.5;15;Atlantique;5;5
1253;7376;Bocage à Osmoderma eremita au nord de la forêt de Perseigne;6236;0.26;48.45;150;6;Atlantique;5;5
1254;7377;Châtaigneraies à Osmoderma eremita au sud du Mans;4642;-2.03;47.73;100;8;Atlantique;4;4
1255;7378;Lac de Grand Lieu;5732;-1.68;47.08;3;8;Atlantique;14;10
1256;7379;Marais salants de Guérande, traicts du Croisic, dunes de Pen Bron;3622;-2.47;47.3;0;5;Atlantique;12;11
1257;7381;Basses vallées angevines et prairies de la Baumette;7523;-0.52;47.57;14.5;19;Atlantique;15;14
1258;7386;Forêt de Gâvre;4481;-1.8;47.52;45;1;Atlantique;7;5
1259;7388;Grande Brière, marais de Donges et du Brivet;19754;-2.24;47.37;3;23;Atlantique;13;12
1260;7391;Plaine calcaire du sud Vendée;6701;-0.97;46.48;20;11;Atlantique;6;6
1262;7394;Fier d'Ars et fosse de Loix;4452;-1.46;46.21;1;5;Atlantique;1;5
1263;7395;Anse de Fouras, baie d'Yves, marais de Rochefort;13604;-0.97;46.01;3;21;Atlantique;2;9
1264;7396;Forêt de Moulière, landes du Pinail, bois du Défens, du Fou et de la Roche de Bran;8123;0.5;46.65;120;9;Atlantique;7;4
1265;7397;Marais de Brouage-Oléron;26080;-1.05;45.85;3;17;Atlantique;18;16
1266;7398;Marais poitevin;68023;-1.1;46.35;5;103;Atlantique;3;7
1267;7399;Vallée de la Charente moyenne et Seugnes;7087;-0.63;45.72;5;34;Atlantique;8;8
1268;7400;Vallée de la Charente en amont d'Angoulême;4008;0.06;45.79;50;25;Atlantique;7;12
1269;7401;Plaine de Niort Sud-Est;20760;-0.42;46.21;80;22;Atlantique;10;11
1270;7402;Estuaire de la Gironde : marais de la rive nord;12508;-0.76;45.31;2;20;Atlantique;6;7
1273;7405;Camp de Montmorillon, Landes de Sainte-Marie;4072;0.94;46.4;140;6;Continentale;9;8
1274;7406;Plateau de Bellefonds;2584;0.61;46.64;130;4;Atlantique;9;9
1275;7407;Bois de l'Hospice, étang de Beaufour et environs;3760;0.81;46.37;130;4;Atlantique;18;16
1276;7408;Plaines du Mirebalais et du Neuvillois;37430;0.08;46.78;110;31;Atlantique;11;11
1277;7409;Région de Pressac, étang de Combourg;3359;0.52;46.12;160;3;Atlantique;12;13
1278;7410;Marais et estuaire de la Seudre, île d'Oléron;13983;-1.08;45.78;2;18;Atlantique;19;18
1279;7411;Plaine de Villefagnan;9531;0.06;45.98;110;13;Atlantique;8;9
1280;7412;Plaine de La Mothe-Saint-Héray-Lezay;24450;0.04;46.28;120;19;Atlantique;11;12
1281;7413;Plaines de Barbezières à Gourville;8108;-0.07;45.87;90;6;Atlantique;9;10
1282;7414;Plaine de Néré à Bresdon;9261;-0.24;45.92;90;11;Atlantique;9;9
1283;7415;Estuaire et basse vallée de la Charente;10700;-0.98;45.92;3;23;Atlantique;5;8
1284;7418;Marais de Bruges;262;-0.59;44.9;19;1;Atlantique;0;1
1285;7419;Côte médocaine : dunes boisées et dépression humides;3949;-1.14;45.03;20;2;Atlantique;13;13
1286;7420;Courant d'Huchet;681;-1.38;43.88;19;3;Atlantique;3;4
1287;7421;Domaine d'Orx;751;-1.39;43.6;5;3;Atlantique;0;3
1288;7422;Marais du Nord Médoc;23942;-1;45.43;15;16;Atlantique;7;7
1289;7424;Champ de tir du Poteau;12823;-0.36;44.21;115;7;Atlantique;0;2
1290;7425;Hautes vallées d'Aspe et d'Ossau;49106;-0.52;42.89;1585;11;Alpine;9;12
1291;7426;Pènes du Moulle de Jaout;4399;-0.35;43.03;800;6;Alpine;4;8
1292;7427;Site d'Arjuzanx;2123;-0.86;43.98;50;3;Atlantique;8;6
1293;7428;Rochers de Biarritz : le Bouccalot et la Roche ronde;244;-1.56;43.49;10;1;Atlantique;3;7
1294;7429;Haute Soule: massif forestier, gorges d'Holzarté et d'Olhadubi;2607;-0.93;42.98;1200;1;Alpine;7;8
1295;7430;Haute Soule : forêt des Arbailles;7114;-0.99;43.13;910;9;Atlantique;8;9
1296;7431;Haute Soule : forêt d'Iraty, Orgambidexka et Pic des Escaliers;5584;-1.05;43.03;985;5;Alpine;10;11
1297;7432;Eth Thuron des Aureys;2182;-0.63;43.05;800;5;Alpine;7;5
1298;7433;Haute Soule : massif de la Pierre Saint-Martin;18312;-0.75;43.02;1300;10;Alpine;13;12
1299;7434;Pics de l'Estibet et de Mondragon;4648;-0.24;43.05;1000;4;Alpine;8;9
1300;7435;Barrage d'Artix et saligue du Gave de Pau;3360;-0.51;43.35;107.5;19;Atlantique;4;6
1301;7436;Col de Lizarrieta;1366;-1.59;43.26;425;1;Atlantique;9;10
1302;7437;Vallée de la Nive des Aldudes, Col de Lindux;14767;-1.38;43.17;587.5;8;Atlantique;9;10
1303;7438;Estuaire de la Bidassoa et baie de Fontarabie;9457;-1.7;43.41;2.5;2;Atlantique;14;15
1304;7439;Estuaire de la Gironde : marais du Blayais;6859;-0.63;45.23;2.5;9;Atlantique;15;11
1305;7440;Haute Cize : Pic d'Herrozate et forêt d'Orion;6374;-1.17;43.05;600;3;Atlantique;3;4
1306;7442;Bassin d'Arcachon et banc d'Arguin;22639;-1.21;44.65;-5;10;Atlantique;5;8
1307;7445;Ruisseaux de la région de Neuvic;149;2.22;45.31;536;4;Continentale;4;10
1308;7447;Gorges de la Tardes et Vallée du Cher;1234;2.5;46.2;391.5;3;Continentale;8;8
1309;7449;Gorges de la Dordogne;46037;2.13;45.22;440;62;Continentale;18;18
1310;7450;Étang des Landes;740;2.31;46.17;385.5;1;Continentale;17;16
1311;7451;Plateau de Millevaches;65974;1.98;45.71;815;29;Continentale;14;14
1312;7452;Plateau de Montselgues;3995.2;4.02;44.5;857;4;Continentale;11;8
1313;7453;Marais - tourbières de l'Herretang;205;5.7;45.38;392;2;Continentale;6;5
1314;7454;Iles du Haut Rhône;89;5.61;45.63;209;2;Continentale;3;3
1315;7455;Réseau de zones humides dans la Combe de Savoie et la moyenne vallée de l'Isère;876.8;6.14;45.53;284;16;Alpine;9;9
1316;7457;Monts du Forez;5555;3.83;45.61;1350;7;Continentale;18;16
1317;7458;Val d'Allier - Alagnon;2419;3.21;45.64;435;32;Continentale;4;6
1318;7461;Forêt de Valbonne;5052;4.55;44.23;970;11;Méditerranéenne;3;2
1319;7464;Iles d'Hyères;47905;6.44;43.02;-100;1;Méditerranéenne;7;7
1320;7466;Crau;39248;4.86;43.56;40;10;Méditerranéenne;3;2
1321;7468;Massif du Petit Luberon;17013;5.26;43.8;473;25;Méditerranéenne;5;4
1322;7469;Préalpes de Grasse;23113;6.99;43.75;932;34;Méditerranéenne;9;8
1324;7470;Iles Marseillaises - Cassidaigne;39158;5.36;43.19;-500;1;Méditerranéenne;7;6
1325;7471;Verdon;16034;6.37;43.75;962;11;Méditerranéenne;3;2
1326;7472;Sainte-Baume occidentale;5872;5.67;43.31;700;6;Méditerranéenne;9;7
1327;7473;Cavités à chauves-souris de Castifao, muraccIole, Olmeta di Tuda et Coggia-Temuli;21;9.12;42.51;280;4;Méditerranéenne;4;4
1328;7474;Iles Lavezzi, Bouches de Bonifacio;98941;9.12;41.35;-69;1;Méditerranéenne;9;8
1329;7475;Iles Cerbicale;4996;9.36;41.53;1;1;Méditerranéenne;5;5
1330;7476;Golfe de Porto et presqu'île de Scandola;25576;8.58;42.31;100;7;Méditerranéenne;7;7
1331;7477;Iles Sanguinaires, golfe d'Ajaccio;47412;8.61;41.85;-420;1;Méditerranéenne;5;5
1332;7478;Iles Finocchiarola et Côte Nord;933;9.4;43;175;3;Méditerranéenne;8;7
1333;7527;Estuaire de la Seine;11341;0.13;49.41;55;17;Atlantique;8;6
1334;7528;Marais Vernier, Risle Maritime;7652;0.45;49.41;59;17;Atlantique;8;6
1335;7529;Boucles de la Seine Amont, Coteaux de Saint-Adrien;423;1.14;49.38;61;7;Atlantique;3;3
1336;7530;Boucles de la Seine Amont, Coteaux d'Orival;99.29;1;49.32;65;3;Atlantique;3;2
1337;7531;Boucles de la Seine Amont d'Amfreville à Gaillon;2099.34;1.26;49.29;80.5;26;Atlantique;3;3
1338;7532;Vallée de l'Eure;2981.86;1.14;49.17;76;50;Atlantique;5;3
1339;7533;Pays de Bray humide;3332;1.59;49.54;156;29;Atlantique;6;8
1340;7534;Bassin de l'Arques;338;1.17;49.77;105.5;61;Atlantique;5;5
1341;7535;Pays de Bray – Cuestas Nord et Sud;1195;1.41;49.5;135;47;Atlantique;5;3
1342;7536;La forêt d'Eu et les pelouses adjacentes;778;1.56;49.94;146;14;Atlantique;4;3
1343;7537;Littoral Cauchois;6303;0.27;49.73;50;40;Atlantique;13;13
1344;7538;Forêt de Lyons;788;1.4;49.39;108;12;Atlantique;4;3
1345;7539;Val Eglantier;9.94;0.46;49.49;7.5;2;Atlantique;1;1
1346;7540;Corbie;28.6;0.41;49.32;77;9;Atlantique;4;4
1347;7542;Vallée de l'Epte;946.26;1.51;49.08;81.5;8;Atlantique;6;4
1348;7543;réseau de cavités du nord-ouest de la Seine-Maritime;26.65;0.3;49.68;65;5;Atlantique;5;5
1349;7544;Forêt d'Eawy;691;1.27;49.7;161;8;Atlantique;1;0
1350;7545;L'Abbaye de Jumièges;0.07;0.82;49.43;19;1;Atlantique;1;1
1351;7546;Iles et berges de la Seine en Seine-Maritime;236;1.12;49.35;3.5;10;Atlantique;3;7
1352;7547;Iles et berges de la Seine dans l'Eure;327;1.25;49.3;18.5;25;Atlantique;2;6
1353;7548;Les grottes du Mont Roberge;0.79;1.49;49.1;110;1;Atlantique;3;2
1354;7549;Le Haut Bassin de la Calonne;779.54;0.4;49.21;112.5;12;Atlantique;4;4
1355;7550;les cavités de Tillières-sur-Avre;16.12;1.04;48.75;146;1;Atlantique;8;6
1356;7551;Les étangs et mares des forêts de Breteuil et Conches;121;0.82;48.81;178.5;10;Atlantique;2;1
1357;7552;Havre de Saint-Germain-sur-Ay et Landes de Lessay;4056.37;-1.61;49.21;17;10;Atlantique;19;18
1358;7553;Littoral ouest du Cotentin de Saint-Germain-sur-Ay au Rozel;2314.65;-1.7;49.32;39;11;Atlantique;0;0
1359;7554;Massif dunaire de Héauville à Vauville;752;-1.83;49.59;56;2;Atlantique;7;7
1360;7555;Récifs et landes de la Hague;9178;-1.96;49.72;63;1;Atlantique;15;15
1361;7556;Récifs et marais arrière-littoraux du Cap Lévi à la Pointe de Saire;15385;-1.3;49.71;92;5;Atlantique;16;11
1362;7557;Tatihou - Saint-Vaast-la-Hougue;1148;-1.24;49.59;5;1;Atlantique;8;8
1363;7558;Marais du Cotentin et du Bessin - Baie des Veys;32974;-1.15;49.36;1;81;Atlantique;12;10
1364;7559;Marais arrière-littoraux du Bessin;360;-0.54;49.34;9;3;Atlantique;8;7
1365;7560;Vallée de l'Orne et ses affluents;2115;-0.45;48.9;141.5;21;Atlantique;23;23
1366;7561;Marais du Grand Hazé;167.41;-0.38;48.69;204.5;2;Atlantique;11;8
1367;7562;Marais alcalin de Chicheboville-Bellengreville;154;-0.21;49.11;18.5;3;Atlantique;6;6
1368;7563;Monts d'Eraines;318.14;-0.12;48.94;105;5;Atlantique;6;4
1369;7564;Haute vallée de l'Orne et affluents;20593;0.13;48.67;157.5;71;Atlantique;16;16
1370;7565;Sites d'Ecouves;1630;-0.06;48.6;278.5;9;Atlantique;22;22
1371;7566;Haute Vallée de la Touques et affluents;1399.67;0.29;48.93;178.5;12;Atlantique;7;5
1372;7567;Forets, etangs et tourbieres du Haut-Perche;3670;0.81;48.55;231.5;6;Atlantique;8;9
1373;7568;Haute Vallée de la Sarthe;3503;0.32;48.47;155.5;34;Atlantique;19;19
1374;7569;Bois et coteaux a l'ouest de Mortagne-au-Perche;36.37;0.5;48.54;205;2;Atlantique;3;2
1375;7570;Bois et coteaux calcaires sous Belleme;105;0.53;48.33;155;5;Atlantique;9;6
1376;7571;Vallée de la Sée;1422.42;-1.1;48.72;95.5;23;Atlantique;4;6
1377;7572;Bassin de l'Airou;852.69;-1.35;48.84;90;12;Atlantique;13;13
1378;7573;Carrière de Loisail;0.17;0.59;48.51;189;1;Atlantique;15;13
1379;7574;Carrière de la Mansonnière;0.17;0.76;48.41;135;1;Atlantique;11;11
